[63,75] [27,97]|(1 [-83,-55,-82] [7,74,-16]);(2 [32,83,-36] [80,68,35]);(3 [-34,-96,81] [12,65,84]);(4 [-30,44,-59] [98,97,-68]);(5 [11,-98,-93] [-56,63,15]);(6 [14,-59,90] [75,12,-85])
[37,24] [5,8]|(1 [72,-34,63] [70,-97,59]);(2 [14,-2,35] [13,70,44]);(3 [-14,-17,75] [-50,61,-62]);(4 [60,52,-6] [36,-34,-11]);(5 [74,72,70] [51,-10,-42])
[68,69] [49,73]|(1 [40,45,84] [93,-8,92]);(2 [-73,-49,82] [87,-42,99]);(3 [-52,-8,55] [-77,-38,-6]);(4 [-41,7,-56] [-28,34,71]);(5 [-11,-92,-19] [23,77,-31])
[89,86] [52,70]|(1 [-8,-38,12] [65,70,-78]);(2 [-2,-45,-57] [41,88,82]);(3 [-31,-16,-4] [-95,-68,-43]);(4 [-27,-38,-33] [-35,-84,-28]);(5 [69,83,57] [36,30,-72]);(6 [-10,61,66] [62,-48,49]);(7 [-14,-92,-7] [-30,-43,-9])
[25,6] [93,25]|(1 [66,93,43] [-39,37,76]);(2 [-78,-44,80] [-47,-98,63]);(3 [-1,-49,92] [9,-6,46]);(4 [-2,-37,86] [81,28,13]);(5 [56,29,63] [-6,-67,-57]);(6 [36,-78,59] [44,42,47])
[43,46] [47,3]|(1 [46,-2,84] [8,-73,-48]);(2 [68,52,-80] [-54,-51,4]);(3 [-54,-19,5] [99,42,74]);(4 [45,39,30] [41,80,-84]);(5 [-39,-18,-74] [28,-53,-53]);(6 [-92,-40,24] [58,45,1]);(7 [-81,28,26] [-86,-57,-22]);(8 [44,94,92] [-80,-97,96]);(9 [-27,40,84] [18,-65,-34]);(10 [-6,34,71] [-27,39,-88]);(11 [52,59,72] [51,36,-38]);(12 [89,60,88] [68,-51,-74]);(13 [55,-39,97] [53,-34,98]);(14 [-54,19,-16] [-43,-84,-20]);(15 [-90,100,-33] [97,-80,-74])
[75,78] [9,24]|(1 [-30,-59,77] [47,93,53]);(2 [5,92,-12] [-79,8,79]);(3 [85,-84,42] [97,58,55]);(4 [49,-1,-74] [-35,-18,75]);(5 [50,-74,-18] [-81,-2,-36]);(6 [-71,-76,39] [-86,-82,57]);(7 [-84,20,12] [3,-69,35]);(8 [11,80,47] [-96,-52,78]);(9 [53,16,67] [-29,-91,-91]);(10 [-68,22,67] [-40,-26,45]);(11 [65,-97,63] [12,-87,-56])
[46,39] [95,21]|(1 [-75,4,18] [64,17,-20]);(2 [-42,58,-74] [-80,35,70]);(3 [-18,58,37] [30,-27,29]);(4 [17,-3,93] [-57,-40,-62]);(5 [-83,-19,-15] [-11,-11,8]);(6 [3,34,86] [65,-38,-51]);(7 [59,-8,23] [87,-73,40])
[0,0] [100,100]|(1 [2,3,5] [42,61,10]);(3 [5,6,6] [12,3,7]);(2 [3,2,1] [12,6,7])
[88,57] [87,48]|(1 [-76,8,-96] [62,-48,-84]);(2 [85,90,-53] [61,76,79]);(3 [-68,-3,-8] [-78,83,-47]);(4 [44,-39,0] [-29,83,-72]);(5 [-94,-70,-18] [69,-83,69]);(6 [0,62,94] [-1,84,-26]);(7 [77,-68,-60] [-49,-4,63]);(8 [-29,-60,14] [23,-70,-46]);(9 [-91,56,-86] [-50,-44,54]);(10 [-80,-5,39] [78,-1,48]);(11 [-57,31,-5] [84,45,54])
